SMILES,pIC50
CCN(CC)CCCNc1ncc2c(n1)N(CC)C(=O)N(c1cc(OC)cc(OC)c1)C2,4.301029996
CC(C)n1c(=O)ncc2cnc(Nc3ccc(-n4cccn4)cc3)nc21,4.301029996
O=c1ncc2cnc(Nc3ccc(N4CCC(CCN5CCOCC5)CC4)cc3)nc2n1C1CCCC1,4.301029996
COc1cc(NCc2cnc(SC)nc2CCN)c(Cl)c(OC)c1,4.301029996
COc1cc(NCc2cnc(SC)nc2CCN)cc(OC)c1,4.301029996
COc1cc(/N=C/c2cnc(SC)nc2CCN)cc(OC)c1,4.301029996
COc1cc(NCc2cnc(SC)nc2N)cc(OC)c1,4.301029996
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,4.327902142
Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,5.37675071
Cc1cc(CCC(=O)O)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,5.795880017
CC(C)([NH3+])c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1,4.397940009
CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,6.853871964
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2ccc(Nc3ccccc3)nc21,4.301029996
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2nccs2)cs1,4
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cnccn2)cs1,4
Cc1ccc(NC(=O)c2cccc(Br)c2)cc1Nc1nc(-c2ccc(Cl)cc2)c(C)s1,4
Cc1ccc(NC(=O)OCC(C)C)cc1Nc1nc(-c2ccc(Cl)cc2)c(C)s1,4
COc1ccc(-c2csc(Nc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)n2)cc1,4
COc1cccc(-c2csc(Nc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)n2)c1,4
Cc1ccc(NC(=O)C2CCCCC2)cc1Cc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)C2(C)CCCCC2)cc1Cc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)C2CCC(C(C)(C)C)CC2)cc1Nc1nc(-c2cccnc2)cs1,4
COc1ccc(NC(=O)Nc2ccc(C)c(Nc3nc(-c4cccnc4)cs3)c2)cc1,4
CCOC(=O)c1ccc(NC(=O)Nc2ccc(C)c(Nc3nc(-c4cccnc4)cs3)c2)cc1,4
Cc1ccc(NC(=O)Nc2cccs2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)Nc2cccc(F)c2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2cccc(I)c2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(N)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccccc2I)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(NS(=O)(=O)c3cccs3)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(-c3ccncc3)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(OC(C)C)cc2)cc1Cc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2cccc(OCCN3CCOCC3)c2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(-c3ccncc3)cc2)cc1Cc1nc(-c2cccnc2)cs1,4
